iter	Passed	Remaining
410	3256	4667
411	3262	4655
412	3268	4645
413	3275	4635
414	3282	4627
415	3287	4614
416	3292	4602
417	3299	4593
418	3304	4581
419	3308	4569
420	3313	4556
421	3318	4545
422	3322	4532
423	3326	4518
424	3330	4506
425	3334	4493
426	3340	4483
427	3345	4471
428	3350	4459
429	3356	4449
430	3361	4437
431	3365	4425
432	3371	4415
433	3377	4404
434	3381	4392
435	3391	4386
436	3395	4374
437	3400	4363
438	3406	4352
439	3411	4341
440	3417	4331
441	3422	4320
442	3427	4309
443	3433	4299
444	3439	4289
445	3444	4277
446	3451	4270
447	3458	4261
448	3466	4254
449	3473	4245
450	3481	4237
451	3486	4226
452	3492	4216
453	3500	4209
454	3505	4199
455	3512	4190
456	3517	4179
457	3522	4168
458	3529	4159
459	3535	4150
460	3540	4139
461	3548	4132
462	3553	4121
463	3561	4114
464	3567	4103
465	3572	4093
466	3579	4085
467	3584	4074
468	3589	4064
469	3601	4060
470	3609	4053
471	3614	4043
472	3618	4031
473	3624	4022
474	3629	4011
475	3633	4000
476	3640	3991
477	3645	3981
478	3650	3970
479	3660	3965
480	3666	3955
481	3674	3948
482	3677	3936
483	3682	3925
484	3688	3917
485	3693	3906
486	3698	3896
487	3706	3888
488	3711	3878
489	3716	3868
490	3722	3858
491	3728	3849
492	3734	3840
493	3739	3830
494	3745	3820
495	3751	3812
496	3756	3801
497	3760	3790
498	3766	3782
499	3772	3772
500	3777	3761
501	3784	3754
502	3788	3743
503	3793	3733
504	3800	3725
505	3805	3714
506	3809	3704
507	3814	3694
508	3819	3683
509	3824	3674
510	3828	3663
511	3833	3653
512	3839	3645
513	3844	3635
514	3849	3625
515	3858	3619
516	3864	3610
517	3868	3600
518	3875	3591
519	3882	3584
520	3889	3576
521	3894	3566
522	3903	3560
523	3913	3555
524	3922	3549
525	3929	3541
526	3944	3540
527	3957	3537
528	3969	3534
529	3977	3527
530	3992	3526
531	4003	3522
532	4011	3515
533	4026	3513
534	4035	3507
535	4042	3499
536	4051	3492
537	4057	3483
538	4068	3479
539	4074	3471
540	4083	3464
541	4089	3455
542	4096	3447
543	4102	3439
544	4108	3429
545	4115	3422
546	4121	3413
547	4127	3404
548	4133	3395
549	4138	3386
550	4145	3378
551	4152	3369
552	4159	3362
553	4166	3354
554	4173	3345
555	4179	3337
556	4185	3328
557	4192	3320
558	4198	3312
559	4205	3304
560	4211	3295
561	4217	3286
562	4224	3278
563	4229	3269
564	4234	3260
565	4241	3252
566	4246	3243
567	4254	3235
568	4262	3228
569	4276	3226
570	4291	3224
571	4302	3219
572	4314	3215
573	4321	3207
574	4332	3202
575	4342	3196
576	4349	3188
577	4360	3183
578	4367	3175
579	4379	3171
580	4385	3162
581	4400	3160
582	4411	3155
583	4417	3147
584	4426	3140
585	4434	3133
586	4442	3125
587	4449	3117
588	4459	3111
589	4472	3107
590	4480	3100
591	4489	3094
592	4495	3085
593	4503	3078
594	4509	3069
595	4518	3062
596	4524	3054
597	4531	3045
598	4537	3037
599	4543	3028
600	4551	3021
601	4557	3012
602	4565	3005
603	4571	2996
604	4577	2988
605	4584	2980
606	4589	2971
607	4598	2964
608	4605	2956
609	4617	2951
610	4624	2943
611	4634	2937
612	4639	2929
613	4645	2920
614	4650	2911
615	4656	2902
616	4663	2894
617	4670	2887
618	4677	2878
619	4683	2870
620	4688	2861
621	4693	2852
622	4698	2842
623	4702	2833
624	4710	2826
625	4714	2816
626	4721	2808
627	4726	2800
628	4731	2790
629	4736	2781
630	4742	2773
631	4748	2764
632	4755	2757
633	4761	2748
634	4771	2742
635	4777	2734
636	4782	2725
637	4788	2716
638	4794	2708
639	4800	2700
640	4808	2692
641	4816	2686
642	4823	2678
643	4830	2670
644	4837	2662
645	4844	2654
646	4848	2645
647	4855	2637
648	4862	2630
649	4867	2621
650	4872	2612
651	4877	2603
652	4882	2594
653	4888	2586
654	4893	2577
655	4900	2569
656	4906	2561
657	4913	2553
658	4917	2544
659	4924	2536
660	4929	2528
661	4934	2519
662	4942	2512
663	4948	2503
664	4954	2495
665	4961	2488
666	4969	2480
667	4975	2472
668	4984	2466
669	4992	2458
670	5012	2457
671	5022	2451
672	5028	2443
673	5037	2436
674	5044	2428
675	5059	2425
676	5069	2418
677	5075	2410
678	5082	2402
679	5088	2394
680	5135	2405
681	5140	2397
682	5149	2389
683	5155	2381
684	5161	2373
685	5165	2364
686	5171	2356
687	5180	2349
688	5186	2340
689	5191	2332
690	5197	2324
691	5201	2315
692	5206	2306
693	5213	2298
694	5217	2289
695	5230	2284
696	5235	2276
697	5244	2269
698	5250	2260
699	5257	2253
700	5264	2245
701	5276	2239
702	5282	2231
703	5286	2222
704	5295	2215
705	5302	2208
706	5310	2200
707	5316	2192
708	5326	2186
709	5339	2180
710	5346	2173
711	5357	2167
712	5366	2160
713	5376	2153
714	5383	2145
715	5390	2138
716	5399	2131
717	5405	2123
718	5411	2114
719	5419	2107
720	5425	2099
721	5434	2092
722	5442	2085
723	5449	2077
724	5459	2070
725	5466	2062
726	5471	2054
727	5476	2046
728	5482	2037
729	5486	2029
730	5490	2020
731	5496	2012
732	5501	2004
733	5506	1995
734	5513	1987
735	5520	1980
736	5526	1972
737	5531	1963
738	5535	1955
739	5543	1947
740	5551	1940
741	5561	1933
742	5568	1926
743	5577	1919
744	5583	1911
745	5591	1903
746	5598	1896
747	5606	1888
748	5613	1881
749	5622	1874
750	5628	1866
751	5633	1857
752	5641	1850
753	5648	1842
754	5656	1835
755	5665	1828
756	5672	1821
757	5679	1813
758	5688	1806
759	5696	1798
760	5703	1791
761	5709	1783
762	5713	1774
763	5719	1766
764	5725	1758
765	5729	1750
766	5735	1742
767	5740	1734
768	5745	1725
769	5752	1718
770	5757	1710
771	5762	1701
772	5770	1694
773	5774	1686
774	5782	1678
775	5788	1670
776	5797	1663
777	5805	1656
778	5816	1650
779	5827	1643
780	5836	1636
781	5843	1629
782	5849	1621
783	5858	1614
784	5864	1606
785	5876	1599
786	5883	1592
787	5890	1584
788	5897	1577
789	5903	1569
790	5912	1562
791	5917	1554
792	5926	1547
793	5933	1539
794	5943	1532
795	5948	1524
796	5955	1516
797	5960	1508
798	5965	1500
799	5972	1493
800	5977	1485
801	5986	1477
802	5992	1470
803	5997	1461
804	6003	1454
805	6008	1446
806	6013	1438
807	6019	1430
808	6024	1422
809	6032	1415
810	6040	1407
811	6049	1400
812	6054	1392
813	6060	1384
814	6066	1377
815	6073	1369
816	6080	1361
817	6086	1354
818	6091	1346
819	6098	1338
820	6105	1331
821	6114	1324
822	6121	1316
823	6132	1309
824	6140	1302
825	6150	1295
826	6157	1288
827	6167	1281
828	6178	1274
829	6184	1266
830	6193	1259
831	6200	1252
832	6208	1244
833	6216	1237
834	6227	1230
835	6233	1222
836	6238	1214
837	6243	1207
838	6249	1199
839	6255	1191
840	6260	1183
841	6275	1177
842	6283	1170
843	6292	1163
844	6299	1155
845	6308	1148
846	6315	1140
847	6323	1133
848	6331	1126
849	6339	1118
850	6345	1111
851	6352	1103
852	6357	1095
853	6363	1087
854	6370	1080
855	6375	1072
856	6380	1064
857	6386	1056
858	6391	1049
859	6399	1041
860	6405	1034
861	6413	1026
862	6430	1020
863	6437	1013
864	6446	1006
865	6453	998
866	6463	991
867	6470	984
868	6479	976
869	6485	969
870	6494	961
871	6503	954
872	6511	947
873	6519	939
874	6527	932
875	6532	924
876	6539	917
877	6544	909
878	6550	901
879	6556	894
880	6561	886
881	6565	878
882	6571	870
883	6575	862
884	6580	855
885	6584	847
886	6590	839
887	6596	831
888	6603	824
889	6608	816
890	6613	809
891	6620	801
892	6625	793
893	6630	786
894	6637	778
895	6642	770
896	6647	763
897	6658	756
898	6663	748
899	6672	741
900	6677	733
901	6684	726
902	6689	718
903	6694	710
904	6701	703
905	6706	695
906	6711	688
907	6717	680
908	6721	672
909	6733	665
910	6739	658
911	6745	650
912	6750	643
913	6754	635
914	6761	628
915	6766	620
916	6771	612
917	6777	605
918	6782	597
919	6787	590
920	6793	582
921	6798	575
922	6802	567
923	6809	560
924	6814	552
925	6819	544
926	6825	537
927	6830	529
928	6835	522
929	6841	514
930	6846	507
931	6851	499
932	6860	492
933	6866	485
934	6872	477
935	6879	470
936	6884	462
937	6890	455
938	6894	447
939	6899	440
940	6907	433
941	6913	425
942	6921	418
943	6928	411
944	6936	403
945	6942	396
946	6951	389
947	6956	381
948	6961	374
949	6969	366
950	6975	359
951	6980	351
952	6987	344
953	6993	337
954	7000	329
955	7004	322
956	7009	314
957	7015	307
958	7020	300
959	7025	292
960	7032	285
961	7038	278
962	7043	270
963	7049	263
964	7054	255
965	7060	248
966	7065	241
967	7071	233
968	7077	226
969	7082	219
970	7086	211
971	7091	204
972	7095	196
973	7100	189
974	7104	182
975	7110	174
976	7114	167
977	7121	160
978	7127	152
979	7132	145
980	7136	138
981	7142	130
982	7147	123
983	7151	116
984	7157	109
985	7162	101
986	7166	94
987	7174	87
988	7180	79
989	7187	72
990	7192	65
991	7198	58
992	7205	50
993	7211	43
994	7218	36
995	7225	29
996	7232	21
997	7241	14
998	7246	7
999	7254	0
