iter	Logloss
0	0.6866061012
1	0.682744172
2	0.6772925698
3	0.6728248982
4	0.6677240274
5	0.662426137
6	0.6568478184
7	0.6531370816
8	0.648552906
9	0.6435583016
10	0.637971033
11	0.6331176904
12	0.6289551577
13	0.6239991361
14	0.6195106172
15	0.6144654624
16	0.609934114
17	0.6071505787
18	0.6040082617
19	0.5989415784
20	0.5949240261
21	0.5904387121
22	0.5870146737
23	0.5826228796
24	0.5781416084
25	0.5745673335
26	0.5705053554
27	0.5662125863
28	0.5621942197
29	0.5588901291
30	0.5555147857
31	0.5531025175
32	0.5508418539
33	0.5476599948
34	0.5451500594
35	0.5424333271
36	0.53934196
37	0.5360072078
38	0.532672594
39	0.5289063282
40	0.5250039927
41	0.5216517294
42	0.5185428762
43	0.5148052163
44	0.5119008889
45	0.50986049
46	0.506318963
47	0.5034408584
48	0.5002950875
49	0.4975477212
50	0.4942256284
51	0.4915207087
52	0.4881612183
53	0.4858164792
54	0.4832173308
55	0.4800991914
56	0.4775652445
57	0.4739063208
58	0.472077052
59	0.4696184955
60	0.4667374645
61	0.463882683
62	0.461082222
63	0.45890539
64	0.4561543092
65	0.4540724703
66	0.4514216919
67	0.449269975
68	0.4472302465
69	0.444745811
70	0.4433047618
71	0.4405216247
72	0.4379813857
73	0.436390347
74	0.4343584341
75	0.4319700701
76	0.4307345292
77	0.4287633387
78	0.4269726617
79	0.4248258832
80	0.4228087199
81	0.421569615
82	0.4209049046
83	0.4186884078
84	0.4173481719
85	0.4153700937
86	0.4134571172
87	0.4117299707
88	0.4099931826
89	0.4085789657
90	0.406934719
91	0.4051082225
92	0.4032300617
93	0.4020276804
94	0.4011077046
95	0.4000696993
96	0.3981111921
97	0.3960122988
98	0.3942131058
99	0.3931240192
100	0.3926462949
101	0.3909526264
102	0.3896262874
103	0.3884886942
104	0.3872541669
105	0.3858407576
106	0.3844333143
107	0.3828684994
108	0.3818874826
109	0.3802460862
110	0.3793741057
111	0.3779936385
112	0.3762032774
113	0.3755326767
114	0.3741057362
115	0.3727942592
116	0.3716424642
117	0.3705990275
118	0.3695046053
119	0.36894276
120	0.3678349315
121	0.3664373889
122	0.3651909121
123	0.3640648446
124	0.3627511475
125	0.3617650375
126	0.3607990639
127	0.3599589312
128	0.3585377761
129	0.3569025468
130	0.3555007939
131	0.3547517705
132	0.3537182778
133	0.3528615051
134	0.3517795109
135	0.350795373
136	0.3500899823
137	0.3490773636
138	0.3480083095
139	0.3470753587
140	0.3463058212
141	0.345408363
142	0.3444248912
143	0.3440282735
144	0.3432024901
145	0.3421732552
146	0.3413870072
147	0.3407459222
148	0.3401194719
149	0.3393916398
150	0.3386763689
151	0.3374519694
152	0.3367786748
153	0.3360553457
154	0.3348470991
155	0.3341979823
156	0.3332404212
157	0.3325930858
158	0.332436644
159	0.3313840915
160	0.3306077291
161	0.3300361086
162	0.329370572
163	0.3283678384
164	0.3277143211
165	0.3270362759
166	0.3263734527
167	0.3255696037
168	0.324724797
169	0.3239274127
170	0.3235808391
171	0.3229406428
172	0.322277449
173	0.3214076203
174	0.3207100268
175	0.3196976724
